TCGA_Cohort	cohort
1	ACC
2	BLCA
3	BRCA
4	CESC
5	CHOL
6	COAD
7	COADREAD
8	ESCA
9	GBM
10	HNSC
11	KICH
12	KIPAN
13	KIRP
14	LIHC
15	LUAD
16	LUSC
17	OV
18	PAAD
19	PAN
20	PRAD
21	READ
22	SARC
23	SKCM
24	TGCT
25	UCEC
