# this list was built from http://www.imgt.org/IMGTrepertoireMH/Polymorphism/haplotypes/mouse/MHC/Mu_haplotypes.html consulted on 8th September 2021
Allele
H2Kb
H2Kd
H2Kd2
H2Kf
H2Kk
H2Kk2
H2Kp
H2Kq
H2Kq2
H2Kr
H2Ks
H2Ks2
H2Kv
H2Kz
H2Db
H2Dd
H2Dd2
H2Df
H2Dk
H2Dk2
H2Dp
H2Dq
H2Dq2
H2Dr
H2Ds
H2Ds2
H2Dv
H2Dz
H2Ld
H2Ld2
H2Lf
H2Lk
H2Lk2
H2Lp
H2Lq
H2Lq2
H2Lr
H2Ls
H2Ls2
H2Lv
H2Lz
H2Ab
H2Ad
H2Ad2
H2Af
H2Ak
H2Ak2
H2Ap
H2Aq
H2Aq2
H2Ar
H2As
H2As2
H2Av
H2Az
H2Eb
H2Ed
H2Ed2
H2Ef
H2Ek
H2Ek2
H2Ep
H2Eq
H2Eq2
H2Er
H2Es
H2Es2
H2Ev
H2Ez
